sectie,pagina,nummer,straat,benaming_nl,benaming_fr,locatie_lat,locatie_lon,bouw_jaar,afbraak_jaar    ,opmerking
A,44,1,Burchtstraat,Dianagang,Impasse de Diana,50.887364,4.698629,1872,1953,EPSG:4326
A,45,2,Diestse steenweg,Olijfboomgang,Impasse de l'olivier,50.882663,4.713113,1863,1890,
A,45,3,,Plataangang,Impasse du Platane,50.884798,4.710753,onbekend,tussen 1880-1890,
A,46,4,,Witte Vrouwgang,Impasse des Dames Blanches,50.88049,4.704506,Omstreeks 1900,Tussen 1920-1941,
A,46,5,,Sinte Genovagang,Impasse Ste Genevière,50.881852,4.711123,1848,1872,
A,46,6,,Withuisgang,Impasse de la maison blanche,50.881746,4.710697,1848,1901,
A,47,7,,Blauwputgang,Impasse Blauwput,50.882027,4.711499,1848,bestaande gang,
A,51,8,,Tempeliershof,Cour des Templiers,50.882724,4.711139,einde 18e eeuw,bestaande gang,doorgetrokken langst twee zijden tot de Van den Tymplestraat
A,54,9,,Oppendorpgang,Impasse Oppendorp,50.882165,4.713027,1869,1919,
A,55,10,,Bloemendaelgang,Impasse Bloemendael,50.882253,4.713419,1840,1919,
A,56,11,Glasblazerijstraat,Villersgang,Impasse de Villers,50.886869,4.698753,1854,1953,
A,56,12,,Sint-Albertusgang,Impasse Saint Albert,50.88691,4.698672,1854,1953,
A,57,13,,Valkerijgang,Impasse de la Fauconnerie,50.886798,4.698045,1897,bestaande gang,
A,58,14,Kardinaalstraat,Draakgang,Impasse du Dragon,50.885342,4.701282,1842,1953,
A,59,15,Margarethaplaats,Koralengang,Impasse des Enfants de Choeur,50.880275,4.701223,sinds ancien régime,1922,
A,60,16,,Natiëngang,Impasse des Nations,50.879903,4.701494,sinds ancien régime,1921,
A,60,17,,Koffiehuisgang,Impasse du Café,50.879759,4.701725,sinds ancien régime,1921,
A,60,18,Mechelse straat,Wefgang,Impasse du Chantier,50.881771,4.699439,onbekend,1881,
A,62,19,,Sinte-Gertrudisgang,Impasse Sainte Gertrude,50.884265,4.698399,1881,1945,
A,62,20,,Luipaardgang,Impasse de Léopard,50.884861,4.698069,onbekend,Tussen 1903-1920,
A,63,21,Minkelersstraat,Helmgang,Impasse du Casque,50.881331,4.708556,onbekend,bestaande gang,
A,63,22,,Wellensgang,Impasse Wellens,50.881456,4.708551,1874,1928,
A,63,23,,Beemdengang,Impasse de la Prairie,50.881642,4.708784,1853,1928,
A,65,24,,Nerviërsgang,Impasse des Nerviens,50.882138,4.708154,1869,bestaande gang,opengetrokken naar nerviersstraat
A,69,25,Vaart,Wolvengang,Impasse des Loups,50.888203,4.700373,onbekend,bestaande gang,bestaat nog in naam
A,69,26,,Plasschaertsgang,Impasse Plasschaerts,50.887932,4.701068,onbekend,Tussen 1903-1920,
A,69,27,,Werkmannengang,Impasse des ouvriers,50.88838,4.7021,onbekend,Tussen 1903-1920,
A,71,28,,Zoutstraat,Rue du Sel,50.886697,4.706783,1870,1927,"reeds op plan Jobard, 1825; 1870 volgebouwd"
A,73,29,Vaarstraat,Prinsenhof,Cour des Princes,50.882008,4.701668,1849,1886,"1772 verkocht, huisjes gebouwd, pas vana 1849 arbeidershuisvesting"
